Network name,Tree name,Country code,Source group,Source,ST,ST,CC,CC_CC
4430211_Human_97_97,4430211_Human_97_97,DEU,Human,Human,97,ST97,97,CC97
4430212_Human_78_88,4430212_Human_78_88,GRC,Human,Human,78,ST78,88,CC88
443022_Human_22_22,443022_Human_22_22,DEU,Human,Human,22,ST22,22,CC22
443023_Human_5_5,443023_Human_5_5,GRC,Human,Human,5,ST5,5,CC5
443024_Human_12_12,443024_Human_12_12,HUN,Human,Human,12,ST12,12,CC12
443025_Human_22_22,443025_Human_22_22,DEU,Human,Human,22,ST22,22,CC22
443026_Human_225_5,443026_Human_225_5,DEU,Human,Human,225,ST225,5,CC5
443027_Human_225_5,443027_Human_225_5,DEU,Human,Human,225,ST225,5,CC5
443028_Human_15_15,443028_Human_15_15,DEU,Human,Human,15,ST15,15,CC15
443029_Human_8_8,443029_Human_8_8,DEU,Human,Human,8,ST8,8,CC8
446551_Human_NA_7,446551_Human_7_7,ITA,Human,Human,7,ST7,7,CC7
4465510_Human_NA_8,4465510_Human_8_8,NLD,Human,Human,8,ST8,8,CC8
446552_Human_NA_8,446552_Human_8_8,ITA,Human,Human,8,ST8,8,CC8
446553_Human_NA_1,446553_Human_1_1,NOR,Human,Human,1,ST1,1,CC1
446554_Human_NA_45,446554_Human_45_45,NOR,Human,Human,45,ST45,45,CC45
446555_Human_NA_NA,446555_Human_25_25,NOR,Human,Human,25,ST25,25,CC25
446556_Human_NA_7,446556_Human_7_7,ITA,Human,Human,7,ST7,7,CC7
446557_Human_NA_5,446557_Human_5_5,ITA,Human,Human,5,ST5,5,CC5
446559_Human_NA_5,446559_Human_5_5,NLD,Human,Human,5,ST5,5,CC5
458471_Human_22_22,458471_Human_22_22,GBR,Human,Human,22,ST22,22,CC22
458472_Human_34_30,458472_Human_34_30,GBR,Human,Human,34,ST34,30,CC30
458473_Human_30_30,458473_Human_30_30,GBR,Human,Human,30,ST30,30,CC30
52701_Cow_97_97,52701_Cow_97_97,GBR,Bovid,Cow,97,ST97,97,CC97
52702_Human_97_97,52702_Human_97_97,DZA,Human,Human,97,ST97,97,CC97
52704_Cow_97_97,52704_Cow_97_97,DNK,Bovid,Cow,97,ST97,97,CC97
52705_Cow_97_97,52705_Cow_97_97,DNK,Bovid,Cow,97,ST97,97,CC97
52706_Human_97_97,52706_Human_97_97,USA,Human,Human,97,ST97,97,CC97
52707_Human_97_97,52707_Human_97_97,NZL,Human,Human,97,ST97,97,CC97
52708_Human_97_97,52708_Human_97_97,DEU,Human,Human,97,ST97,97,CC97
52709_Human_97_97,52709_Human_97_97,GBR,Human,Human,97,ST97,97,CC97
52710_Cow_97_97,52710_Cow_97_97,IRL,Bovid,Cow,97,ST97,97,CC97
52711_Goat_97_97,52711_Goat_97_97,PRT,Bovid,Goat,97,ST97,97,CC97
552053_Human_30_30,552053_Human_30_30,na,Human,Human,30,ST30,30,CC30
612106_Human_93_93,612106_Human_93_93,AUS,Human,Human,93,ST93,93,CC93
612111_Human_239_8,612111_Human_239_8,AUS,Human,Human,239,ST239,8,CC8
612112_Horse_1_1,612112_Horse_1_1,CHE,Equine,Horse,1,ST1,1,CC1
612113_Horse_1_1,612113_Horse_1_1,CHE,Equine,Horse,1,ST1,1,CC1
612114_Horse_1_1,612114_Horse_1_1,CHE,Equine,Horse,1,ST1,1,CC1
612115_Horse_1_1,612115_Horse_1_1,CHE,Equine,Horse,1,ST1,1,CC1
61223_Human_952_59,61223_Human_952_59,AUS,Human,Human,952,ST952,59,CC59
61233_Goat_133_133,61233_Goat_133_133,NOR,Bovid,Goat,133,ST133,133,CC133
61234_Goat_133_133,61234_Goat_133_133,ITA,Bovid,Goat,133,ST133,133,CC133
61235_Goat_133_133,61235_Goat_133_133,ITA,Bovid,Goat,133,ST133,133,CC133
61236_Cow_133_133,61236_Cow_133_133,SWE,Bovid,Cow,133,ST133,133,CC133
61237_Sheep_133_133,61237_Sheep_133_133,NOR,Bovid,Sheep,133,ST133,133,CC133
61238_Cow_133_133,61238_Cow_133_133,IRL,Bovid,Cow,133,ST133,133,CC133
61239_Cow_699_72,61239_Cow_699_72,IRL,Bovid,Cow,699,ST699,72,CC72
61240_Goat_481_133,61240_Goat_481_133,NOR,Bovid,Goat,481,ST481,133,CC133
61241_Goat_481_133,61241_Goat_481_133,NOR,Bovid,Goat,481,ST481,133,CC133
61243_Sheep_750_133,61243_Sheep_750_133,BRA,Bovid,Sheep,750,ST750,133,CC133
61244_Sheep_750_133,61244_Sheep_750_133,BRA,Bovid,Sheep,750,ST750,133,CC133
61245_Cow_131_133,61245_Cow_131_133,NOR,Bovid,Cow,131,ST131,133,CC133
61246_Cow_132_133,61246_Cow_132_133,NOR,Bovid,Cow,132,ST132,133,CC133
61248_Goat_133_133,61248_Goat_133_133,NOR,Bovid,Goat,133,ST133,133,CC133
61249_Goat_133_133,61249_Goat_133_133,NOR,Bovid,Goat,133,ST133,133,CC133
61250_Cow_133_133,61250_Cow_133_133,NOR,Bovid,Cow,133,ST133,133,CC133
61251_Cow_133_133,61251_Cow_133_133,NOR,Bovid,Cow,133,ST133,133,CC133
61252_Goat_139_133,61252_Goat_139_133,NOR,Bovid,Goat,139,ST139,133,CC133
61253_Cow_481_133,61253_Cow_481_133,NOR,Bovid,Cow,481,ST481,133,CC133
61254_Cow_481_133,61254_Cow_481_133,NOR,Bovid,Cow,481,ST481,133,CC133
61255_Mara_130_130,61255_Mara_130_130,DNK,Rodent,Mara,130,ST130,130,CC130
61256_Mara_130_130,61256_Mara_130_130,DNK,Rodent,Mara,130,ST130,130,CC130
61257_Capybara_133_133,61257_Capybara_133_133,DNK,Rodent,Capybara,133,ST133,133,CC133
61258_Goat_133_133,61258_Goat_133_133,DNK,Bovid,Goat,133,ST133,133,CC133
61259_Lion_133_133,61259_Lion_133_133,DNK,Carnivore,Lion,133,ST133,133,CC133
61260_Cat_133_133,61260_Cat_133_133,DNK,Carnivore,Cat,133,ST133,133,CC133
61261_Cat_133_133,61261_Cat_133_133,DNK,Carnivore,Cat,133,ST133,133,CC133
61262_Tapir_133_133,61262_Tapir_133_133,DNK,Unclassified,Tapir,133,ST133,133,CC133
61263_Chaffinch_692_385,61263_Chaffinch_692_385,GBR,Aves,Chaffinch,692,ST692,385,CC385
61264_Corncrake_1452_133,61264_Corncrake_1452_133,GBR,Aves,Corncrake,1452,ST1452,133,CC133
61265_Sparrow_novel_NA,61265_Sparrow_novel_NA,GBR,Aves,Sparrow,na,STna,na,CCna
61267_Chicken_5_5,61267_Chicken_5_5,GBR,Aves,Chicken,5,ST5,5,CC5
61269_Chicken_692_385,61269_Chicken_692_385,GBR,Aves,Chicken,692,ST692,385,CC385
61270_Chicken_5_5,61270_Chicken_5_5,USA,Aves,Chicken,5,ST5,5,CC5
61271_Chicken_5_5,61271_Chicken_5_5,USA,Aves,Chicken,5,ST5,5,CC5
61272_Chicken_1342_5,61272_Chicken_1342_5,USA,Aves,Chicken,1342,ST1342,5,CC5
61273_Chicken_385_385,61273_Chicken_385_385,BEL,Aves,Chicken,385,ST385,385,CC385
61274_Chicken_5_5,61274_Chicken_5_5,BEL,Aves,Chicken,5,ST5,5,CC5
61275_Chicken_1345_1345,61275_Chicken_1345_1345,AUS,Aves,Chicken,1345,ST1345,1345,CC1345
61276_Avian_1345_1,61276_Avian_1345_1,AUS,Aves,Avian,1345,ST1345,1,CC1
61277_Chicken_1_1,61277_Chicken_1_1,JPN,Aves,Chicken,1,ST1,1,CC1
61278_Chicken_1027_1027,61278_Chicken_1027_1027,JPN,Aves,Chicken,1027,ST1027,1027,CC1027
61280_Chicken_5_5,61280_Chicken_5_5,JPN,Aves,Chicken,5,ST5,5,CC5
61281_Chicken_5_5,61281_Chicken_5_5,JPN,Aves,Chicken,5,ST5,5,CC5
61282_Chicken_1344_385,61282_Chicken_1344_385,JPN,Aves,Chicken,1344,ST1344,385,CC385
61283_Pheasant_692_385,61283_Pheasant_692_385,GBR,Aves,Pheasant,692,ST692,385,CC385
61284_Partridge_692_385,61284_Partridge_692_385,GBR,Aves,Partridge,692,ST692,385,CC385
61286_Chicken_692_385,61286_Chicken_692_385,GBR,Aves,Chicken,692,ST692,385,CC385
61287_Partridge_5_5,61287_Partridge_5_5,GBR,Aves,Partridge,5,ST5,5,CC5
61288_Turkey_5_5,61288_Turkey_5_5,GBR,Aves,Turkey,5,ST5,5,CC5
61289_Partridge_1346_5,61289_Partridge_1346_5,GBR,Aves,Partridge,1346,ST1346,5,CC5
61290_Pheasant_1347_385,61290_Pheasant_1347_385,GBR,Aves,Pheasant,1347,ST1347,385,CC385
61291_Chicken_5_5,61291_Chicken_5_5,DNK,Aves,Chicken,5,ST5,5,CC5
613311_Human_30_30,613311_Human_30_30,FRA,Human,Human,30,ST30,30,CC30
6133110_Human_5_5,6133110_Human_5_5,FRA,Human,Human,5,ST5,5,CC5
6133111_Human_398_398,6133111_Human_398_398,FRA,Human,Human,398,ST398,398,CC398
6133112_Human_NA_45,6133112_Human_2498_45,FRA,Human,Human,2498,ST2498,45,CC45
613312_Human_34_30,613312_Human_34_30,FRA,Human,Human,34,ST34,30,CC30
613313_Human_NA_22,613313_Human_22_22,FRA,Human,Human,22,ST22,22,CC22
613314_Human_5_5,613314_Human_5_5,FRA,Human,Human,5,ST5,5,CC5
613315_Human_NA_30,613315_Human_30_30,FRA,Human,Human,30,ST30,30,CC30
613316_Human_30_30,613316_Human_30_30,FRA,Human,Human,30,ST30,30,CC30
613317_Human_121_121,613317_Human_121_123,FRA,Human,Human,121,ST121,121,CC121
613318_Human_30_30,613318_Human_30_30,FRA,Human,Human,30,ST30,30,CC30
613319_Human_5_5,613319_Human_5_5,FRA,Human,Human,5,ST5,5,CC5
613321_Human_15_15,613321_Human_15_15,NOR,Human,Human,15,ST15,15,CC15
6133211_Human_15_15,6133211_Human_15_15,NOR,Human,Human,15,ST15,15,CC15
6133212_Human_241_8,6133212_Human_241_8,POL,Human,Human,241,ST241,8,CC8
613322_Human_25_25,613322_Human_25_25,POL,Human,Human,25,ST25,25,CC25
613323_Human_NA_121,613323_Human_2880_123,POL,Human,Human,2880,ST2880,123,CC123
613324_Human_26_25,613324_Human_26_25,POL,Human,Human,26,ST26,25,CC25
613326_Human_45_45,613326_Human_45_45,NOR,Human,Human,45,ST45,45,CC45
613329_Human_228_5,613329_Human_228_5,POL,Human,Human,228,ST228,5,CC5
613331_Human_15_15,613331_Human_15_15,POL,Human,Human,15,ST15,15,CC15
613332_Human_239_8,613332_Human_239_8,POL,Human,Human,239,ST239,8,CC8
613334_Human_30_30,613334_Human_30_30,POL,Human,Human,30,ST30,30,CC30
613335_Human_45_45,613335_Human_45_45,POL,Human,Human,45,ST45,45,CC45
613338_Human_45_45,613338_Human_45_45,POL,Human,Human,45,ST45,45,CC45
623611_Human_5_5,623611_Human_5_5,AUT,Human,Human,5,ST5,5,CC5
6236110_Human_22_22,6236110_Human_22_22,AUT,Human,Human,22,ST22,22,CC22
6236111_Human_5_5,6236111_Human_5_5,AUT,Human,Human,5,ST5,5,CC5
623612_Human_20_20,623612_Human_20_20,AUT,Human,Human,20,ST20,20,CC20
623613_Human_7_7,623613_Human_7_7,AUT,Human,Human,7,ST7,7,CC7
623614_Human_45_45,623614_Human_45_45,AUT,Human,Human,45,ST45,45,CC45
623616_Human_15_15,623616_Human_15_15,AUT,Human,Human,15,ST15,15,CC15
623619_Human_NA_12,623619_Human_12_12,AUT,Human,Human,12,ST12,12,CC12
6850_Human_50_50,6850_Human_50_50,na,Human,Human,50,ST50,50,CC50
7065830_Human_36_30,7065830_Human_36_30,GBR,Human,Human,36,ST36,30,CC30
7065844_Human_22_22,7065844_Human_22_22,GBR,Human,Human,22,ST22,22,CC22
7065864_Human_241_8,7065864_Human_241_8,GBR,Human,Human,241,ST241,8,CC8
7068517_Human_22_22,7068517_Human_22_22,GBR,Human,Human,22,ST22,22,CC22
7068520_Human_45_45,7068520_Human_45_45,GBR,Human,Human,45,ST45,45,CC45
7068521_Cow_425_425,7068521_Cow_425_425,GBR,Bovid,Cow,425,ST425,425,CC425
7068522_Human_59_59,7068522_Human_59_59,GBR,Human,Human,59,ST59,59,CC59
7068523_Human_15_15,7068523_Human_15_15,GBR,Human,Human,15,ST15,15,CC15
7068524_Human_1_1,7068524_Human_1_1,GBR,Human,Human,1,ST1,1,CC1
7068527_Cow_1076_151,7068527_Cow_1076_151,GBR,Bovid,Cow,1076,ST1076,151,CC151
7068528_Cow_97_97,7068528_Cow_97_97,GBR,Bovid,Cow,97,ST97,97,CC97
7068529_Cow_151_151,7068529_Cow_151_151,GBR,Bovid,Cow,151,ST151,151,CC151
7068531_Cow_1074_151,7068531_Cow_1074_151,GBR,Bovid,Cow,1074,ST1074,151,CC151
7068538_Cow_151_151,7068538_Cow_151_151,GBR,Bovid,Cow,151,ST151,151,CC151
7068548_Human_81_1,7068548_Human_81_1,GBR,Human,Human,81,ST81,1,CC1
7068549_Human_25_25,7068549_Human_25_25,GBR,Human,Human,25,ST25,25,CC25
7068550_Human_672_361,7068550_Human_672_361,GBR,Human,Human,672,ST672,361,CC361
7083139_Human_1784_22,7083139_Human_1784_22,GBR,Human,Human,1784,ST1784,22,CC22
7092726_Cow_130_130,7092726_Cow_130_130,GBR,Bovid,Cow,130,ST130,130,CC130
7092737_Cow_1526_130,7092737_Cow_1526_130,GBR,Bovid,Cow,1526,ST1526,130,CC130
7092740_Human_1944_130,7092740_Human_1944_130,GBR,Human,Human,1944,ST1944,130,CC130
7092741_Human_1245_130,7092741_Human_1245_130,GBR,Human,Human,1245,ST1245,130,CC130
7092744_Human_1764_130,7092744_Human_1764_130,GBR,Human,Human,1764,ST1764,130,CC130
7092763_Human_1945_130,7092763_Human_1945_130,GBR,Human,Human,1945,ST1945,130,CC130
7092765_Human_1946_1943,7092765_Human_1946_1943or1946,GBR,Human,Human,1946,ST1946,1943,CC1943
7092767_Human_130_130,7092767_Human_130_130,DNK,Human,Human,130,ST130,130,CC130
7229310_Human_6_6,7229310_Human_6_6,GBR,Human,Human,6,ST6,6,CC6
7229311_Human_20_20,7229311_Human_20_20,GBR,Human,Human,20,ST20,20,CC20
7229312_Human_12_12,7229312_Human_12_12,GBR,Human,Human,12,ST12,12,CC12
7229315_Human_72_72,7229315_Human_72_72,GBR,Human,Human,72,ST72,72,CC72
7229328_Human_45_45,7229328_Human_45_45,GBR,Human,Human,45,ST45,45,CC45
7229329_Human_15_15,7229329_Human_15_15,GBR,Human,Human,15,ST15,15,CC15
7229330_Human_15_15,7229330_Human_15_15,GBR,Human,Human,15,ST15,15,CC15
7229338_Human_7_7,7229338_Human_7_7,GBR,Human,Human,7,ST7,7,CC7
722939_Human_34_30,722939_Human_34_30,GBR,Human,Human,34,ST34,30,CC30
7229465_Human_182_NA,7229465_Human_182_NA,GBR,Human,Human,182,ST182,na,CCna
7229471_Human_1035_1035,7229471_Human_1035_1035,GBR,Human,Human,1035,ST1035,1035,CC1035
7229477_Human_30_30,7229477_Human_30_30,GBR,Human,Human,30,ST30,30,CC30
7229483_Human_8_8,7229483_Human_8_8,GBR,Human,Human,8,ST8,8,CC8
7229484_Human_10_10,7229484_Human_10_10,GBR,Human,Human,10,ST10,10,CC10
7229488_Human_12_12,7229488_Human_12_12,GBR,Human,Human,12,ST12,12,CC12
7229516_Human_5_5,7229516_Human_5_5,GBR,Human,Human,5,ST5,5,CC5
7229518_Human_95_121,7229518_Human_95_121,GBR,Human,Human,95,ST95,121,CC121
7229524_Human_47_45,7229524_Human_47_45,GBR,Human,Human,47,ST47,45,CC45
722953_Human_9_9,722953_Human_9_9,GBR,Human,Human,9,ST9,9,CC9
7229531_Human_59_59,7229531_Human_59_59,GBR,Human,Human,59,ST59,59,CC59
7229534_Human_34_30,7229534_Human_34_30,GBR,Human,Human,34,ST34,30,CC30
7229536_Human_12_12,7229536_Human_12_12,GBR,Human,Human,12,ST12,12,CC12
722954_Human_45_45,722954_Human_45_45,GBR,Human,Human,45,ST45,45,CC45
7229649_Human_47_45,7229649_Human_47_45,GBR,Human,Human,47,ST47,45,CC45
7229653_Human_8_8,7229653_Human_8_8,GBR,Human,Human,8,ST8,8,CC8
7229658_Human_123_123,7229658_Human_123_123,GBR,Human,Human,109,ST109,9,CC9
7229665_Human_789_7,7229665_Human_789_7,GBR,Human,Human,789,ST789,7,CC7
7229666_Human_97_97,7229666_Human_97_97,GBR,Human,Human,97,ST97,97,CC97
7229676_Human_1_1,7229676_Human_1_1,GBR,Human,Human,1,ST1,1,CC1
7229682_Human_5_5,7229682_Human_5_5,GBR,Human,Human,5,ST5,5,CC5
7229691_Human_34_30,7229691_Human_34_30,GBR,Human,Human,34,ST34,30,CC30
7229692_Human_8_8,7229692_Human_8_8,GBR,Human,Human,8,ST8,8,CC8
7229695_Human_582_15,7229695_Human_582_15,GBR,Human,Human,582,ST582,15,CC15
739612_Human_188_15,739612_Human_188_188,GBR,Human,Human,188,ST188,188,CC188
7396122_Human_NA_NA,7396122_Human_NA_NA,GBR,Human,Human,na,STna,na,CCna
7396133_Human_51_121,7396133_Human_51_121,GBR,Human,Human,51,ST51,121,CC121
7396136_Human_8_8,7396136_Human_8_8,GBR,Human,Human,8,ST8,8,CC8
7396252_Human_34_30,7396252_Human_34_30,GBR,Human,Human,34,ST34,30,CC30
7396260_Human_30_30,7396260_Human_30_30,GBR,Human,Human,30,ST30,30,CC30
7396264_Human_123_123,7396264_Human_123_123,GBR,Human,Human,123,ST123,123,CC123
7396266_Human_54_22,7396266_Human_54_22,GBR,Human,Human,54,ST54,22,CC22
7396276_Human_78_88,7396276_Human_78_88,GBR,Human,Human,78,ST78,88,CC88
7396277_Human_26_25,7396277_Human_26_25,GBR,Human,Human,26,ST26,25,CC25
7396279_Human_188_15,7396279_Human_188_188,GBR,Human,Human,188,ST188,188,CC188
7396285_Human_508_45,7396285_Human_508_45,GBR,Human,Human,508,ST508,45,CC45
7474263_Human_1224_59,7474263_Human_1224_59,GBR,Human,Human,1224,ST1224,59,CC59
7474274_Human_464_97,7474274_Human_464_97,GBR,Human,Human,464,ST464,97,CC97
7474277_Human_34_30,7474277_Human_34_30,GBR,Human,Human,34,ST34,30,CC30
7474282_Human_45_45,7474282_Human_45_45,GBR,Human,Human,45,ST45,45,CC45
7474292_Human_59_59,7474292_Human_59_59,GBR,Human,Human,59,ST59,59,CC59
7853523_Sheep_130_130,7853523_Sheep_130_130,DNK,Bovid,Sheep,130,ST130,130,CC130
7853525_Cow_130_130,7853525_Cow_130_130,DNK,Bovid,Cow,130,ST130,130,CC130
7853526_Rat_2273_49,7853526_Rat_2273_49,BEL,Rodent,Rat,2273,ST2273,49,CC49
7853529_Rat_2273_49,7853529_Rat_2273_49,BEL,Rodent,Rat,2273,ST2273,49,CC49
7853561_Horse_61_15,7853561_Horse_CC61or171_61,GBR,Equine,Horse,61,ST61,61,CC61
7853575_Dog_8_8,7853575_Dog_8_8,GBR,Carnivore,Dog,8,ST8,8,CC8
7853576_Dog_30_30,7853576_Dog_30_30,GBR,Carnivore,Dog,30,ST30,30,CC30
7853579_Dog_22_22,7853579_Dog_22_22,GBR,Carnivore,Dog,22,ST22,22,CC22
7853583_Dog_30_30,7853583_Dog_30_30,GBR,Carnivore,Dog,30,ST30,30,CC30
7893810_Human_8_8,7893810_Human_8_8,GBR,Human,Human,8,ST8,8,CC8
789384_Human_398_398,789384_Human_398_398,GBR,Human,Human,398,ST398,398,CC398
7893849_Human_2173_1943,7893849_Human_2173_1943,DNK,Human,Human,2173,ST2173,1943,CC1943
789385_Human_2014_8,789385_Human_2014_8,GBR,Human,Human,2014,ST2014,8,CC8
7893854_Human_2174_1943,7893854_Human_2174_1943,DNK,Human,Human,2174,ST2174,1943,CC1943
7893870_Human_101_101,7893870_Human_101_101,DNK,Human,Human,101,ST101,101,CC101
7893885_Cat_599_599,7893885_Cat_599_599,DEU,Carnivore,Cat,599,ST599,599,CC599
7893893_Rat_2024_130,7893893_Rat_2024_130,DEU,Rodent,Rat,2024,ST2024,130,CC130
7893895_Redsquirrel_1958_8,7893895_Redsquirrel_1958_8,GBR,Rodent,Redsquirrel,1958,ST1958,8,CC8
8014418_Human_1021_446,8014418_Human_446_446,DEU,Human,Human,446,ST446,446,CC446
8014444_Sheep_700_130,8014444_Sheep_700_130,ITA,Bovid,Sheep,700,ST700,130,CC130
8014448_skin_522_522,8014448_skin_522_522,ITA,Bovid,Sheep,522,ST522,522,CC522
8014449_Sheep_700_130,8014449_Sheep_700_130,ITA,Bovid,Sheep,700,ST700,130,CC130
8014450_Cow_1627_130,8014450_Cow_1627_130,ITA,Bovid,Cow,1627,ST1627,130,CC130
8014452_Redsquirrel_49_49,8014452_Redsquirrel_49_49,GBR,Rodent,Redsquirrel,49,ST49,49,CC49
8014454_Redsquirrel_49_49,8014454_Redsquirrel_49_49,JEY,Rodent,Redsquirrel,49,ST49,49,CC49
8014460_Redsquirrel_1957_49,8014460_Redsquirrel_1957_49,GBR,Rodent,Redsquirrel,1957,ST1957,49,CC49
8014463_Redsquirrel_1956_121,8014463_Redsquirrel_1956_1956,GBR,Rodent,Redsquirrel,1956,ST1956,1956,CC1956
8014464_Duck_692_385,8014464_Duck_692_385,GBR,Aves,Duck,692,ST692,385,CC385
8014469_Pig_49_49,8014469_Pig_49_49,CHE,Porcine,Pig,49,ST49,49,CC49
8014474_Cow_425_425,8014474_Cow_425_425,GBR,Bovid,Cow,425,ST425,425,CC425
8014480_Cow_2573_130,8014480_Cow_2573_130,GBR,Bovid,Cow,2573,ST2573,130,CC130
8014488_Human_novel_446,8014488_Human_2616_2616 ,GBR,Human,Human,2616,ST2616,2616,CC2616
8014495_Human_718_718,8014495_Human_718_718,GBR,Human,Human,718,ST718,718,CC718
80378_Cow_124_97,80378_Cow_124_97,USA,Bovid,Cow,124,ST124,97,CC97
80379_Cow_97_97,80379_Cow_97_97,DEU,Bovid,Cow,97,ST97,97,CC97
80381_Cow_115_97,80381_Cow_115_97,CAN,Bovid,Cow,115,ST115,97,CC97
80382_Cow_97_97,80382_Cow_97_97,IRL,Bovid,Cow,97,ST97,97,CC97
80383_Cow_97_97,80383_Cow_97_97,IRL,Bovid,Cow,97,ST97,97,CC97
80386_Cow_97_97,80386_Cow_97_97,USA,Bovid,Cow,97,ST97,97,CC97
80387_Cow_97_97,80387_Cow_97_97,CHL,Bovid,Cow,97,ST97,97,CC97
80388_Cow_97_97,80388_Cow_97_97,CHL,Bovid,Cow,97,ST97,97,CC97
80389_Pig_97_97,80389_Pig_97_97,ITA,Porcine,Pig,97,ST97,97,CC97
80391_Human_97_97,80391_Human_97_97,GUF,Human,Human,97,ST97,97,CC97
80392_Human_97_97,80392_Human_97_97,MDA,Human,Human,97,ST97,97,CC97
80393_Human_97_97,80393_Human_97_97,FRA,Human,Human,97,ST97,97,CC97
80394_Human_97_97,80394_Human_97_97,GBR,Human,Human,97,ST97,97,CC97
80395_Human_97_97,80395_Human_97_97,GBR,Human,Human,97,ST97,97,CC97
80396_Human_97_97,80396_Human_97_97,GBR,Human,Human,97,ST97,97,CC97
80397_Human_97_97,80397_Human_97_97,GBR,Human,Human,97,ST97,97,CC97
80398_Human_97_97,80398_Human_97_97,GBR,Human,Human,97,ST97,97,CC97
80399_Human_97_97,80399_Human_97_97,GBR,Human,Human,97,ST97,97,CC97
8113414_Human_2416_8,8113414_Human_2416_8,GBR,Human,Human,2416,ST2416,8,CC8
8113425_Human_30_30,8113425_Human_30_30,GBR,Human,Human,30,ST30,30,CC30
8113433_Human_630_8,8113433_Human_630_8,GBR,Human,Human,630,ST630,8,CC8
8113435_Human_2021_8,8113435_Human_2021_8,GBR,Human,Human,2021,ST2021,8,CC8
8113444_Human_25_25,8113444_Human_25_25,GBR,Human,Human,25,ST25,25,CC25
8113447_Human_1_1,8113447_Human_1_1,GBR,Human,Human,1,ST1,1,CC1
8113449_Human_12_12,8113449_Human_12_12,GBR,Human,Human,12,ST12,12,CC12
8113456_Human_47_45,8113456_Human_47_45,GBR,Human,Human,47,ST47,45,CC45
8113465_Human_291_291,8113465_Human_291_291,GBR,Human,Human,291,ST291,291,CC291
8113466_Human_30_30,8113466_Human_30_30,GBR,Human,Human,30,ST30,30,CC30
8113476_Human_30_30,8113476_Human_30_30,GBR,Human,Human,30,ST30,30,CC30
8113481_Human_30_30,8113481_Human_30_30,GBR,Human,Human,30,ST30,30,CC30
8113482_Human_88_88,8113482_Human_88_88,GBR,Human,Human,88,ST88,88,CC88
8113483_Human_609_8,8113483_Human_609_8,GBR,Human,Human,609,ST609,8,CC8
8113487_Human_12_12,8113487_Human_12_12,GBR,Human,Human,12,ST12,12,CC12
8113514_Human_88_88,8113514_Human_88_88,GBR,Human,Human,88,ST88,88,CC88
8113529_Human_247_112,8113529_Human_247_112,GBR,Human,Human,247,ST247,112,CC112
8113554_Human_250_8,8113554_Human_250_8,GBR,Human,Human,250,ST250,8,CC8
8113575_Human_250_8,8113575_Human_250_8,GBR,Human,Human,250,ST250,8,CC8
8113592_Human_2046_22,8113592_Human_2046_22,GBR,Human,Human,2046,ST2046,22,CC22
814071_Human_novel_NA,814071_Human_novel_NA,FJI,Human,Human,na,STna,na,CCna
8140735_Human_2250_NA,8140735_Human_2250_NA,AUS,Human,Human,2250,ST2250,na,CCna
8140755_Human_1223_NA,8140755_Human_1223_NA,AUS,Human,Human,1223,ST1223,na,CCna
8205120_Human_2179_599,8205120_Human_2179_599,GBR,Human,Human,2179,ST2179,599,CC599
8205124_Human_446_446,8205124_Human_446_446,DNK,Human,Human,446,ST446,446,CC446
8205127_Human_138_138,8205127_Human_138_49,DNK,Human,Human,138,ST138,49,CC49
8205134_Cow_574_130,8205134_Cow_574_130,SWE,Bovid,Cow,574,ST574,130,CC130
8205135_Cow_1126_71,8205135_Cow_1126_71,GBR,Bovid,Cow,1126,ST1126,71,CC71
8205145_Cow_1_1,8205145_Cow_1_1,GBR,Bovid,Cow,1,ST1,1,CC1
820515_Cow_50_50,820515_Cow_50_50,NLD,Bovid,Cow,50,ST50,50,CC50
8205152_Cow_9_9,8205152_Cow_9_9,GBR,Bovid,Cow,9,ST9,9,CC9
8205155_Cow_71_97,8205155_Cow_71_97,GBR,Bovid,Cow,71,ST71,97,CC97
8205260_Monkey_1872,8205260_Monkey_1872,GAB,Monkey,Monkey,1872,ST1872,1872,CC1872
8205267_Monkey_2022,8205267_Monkey_2022,GAB,Monkey,Monkey,2022,ST2022,2022,CC2022
8205270hMonkey_novel,8205270hMonkey_novel,GAB,Monkey,Monkey,na,STna,na,CCna
8205272_Monkey_novel,8205272_Monkey_novel,GAB,Monkey,Gorilla,na,STna,na,CCna
8205275_Monkey_2059,8205275_Monkey_2059,CIV,Monkey,Monkey,2059,ST2059,2059,CC2059
820528_Human_2198_NA,820528_Human_2198_NA,AUS,Human,Human,2198,ST2198,na,CCna
8205280_Monkey_2058,8205280_Monkey_2058,CIV,Monkey,Monkey,2058,ST2058,599,CC599
8233493_Human_novel,8233493_Human_novel,GBR,Human,Human,na,STna,na,CCna
8490714_Cow_425_425,8490714_Cow_425_425,GBR,Bovid,Cow,425,ST425,425,CC425
8490732_Goatprobably_480_130,8490732_Goatprobably_480_130,NOR,Bovid,Goat (probably),480,ST480,130,CC130
8490765_Cow_425_425,8490765_Cow_425_425,GBR,Bovid,Cow,425,ST425,425,CC425
8490784_Cow_1_1,8490784_Cow_1_1,GBR,Bovid,Cow,1,ST1,1,CC1
849079_Cow_130_130,849079_Cow_130_130,GBR,Bovid,Cow,130,ST130,130,CC130
8490793_Cow_8_8,8490793_Cow_8_8,GBR,Bovid,Cow,8,ST8,8,CC8
8728564_Human_109_9,8728564_Human_109_9,GBR,Human,Human,109,ST109,9,CC9
